month,agent,total.mobile-app,total.desktop,total.mobile-web
2021-03,user,2142932,143794577,161632080
2021-03,spider,355,51341123,12440665
2021-03,automated,199,2584770,444906
2021-04,user,2178091,126882472,162967556
2021-04,spider,354,56950706,11165695
2021-04,automated,324,4790663,595881
2021-05,user,2066436,113814767,148836968
2021-05,spider,237,55610300,10777162
2021-05,automated,402,4379063,534382
2021-06,user,1883728,93072950,132962045
2021-06,spider,264,54895019,8593786
2021-06,automated,356,5035512,884618
2021-07,user,2000700,78285864,136804378
2021-07,spider,259,51023286,6710295
2021-07,automated,2483,5733046,4362076
2021-08,user,2129994,79880423,144919799
2021-08,spider,197,44490856,7311157
2021-08,automated,1210,3106524,1027671
2021-09,user,1935327,82579817,137318325
2021-09,spider,275,42665564,8343900
2021-09,automated,498,4638084,1213017
2021-10,user,2041925,94412562,146181566
2021-10,spider,206,52960676,10350736
2021-10,automated,978,4913572,1532807
2021-11,user,2083780,99506261,151214379
2021-11,spider,185,50706170,9568064
2021-11,automated,3615,5339506,1042285
2021-12,user,2175607,92681242,146562941
2021-12,spider,167,53694939,8972391
2021-12,automated,318,6944817,2597402
2022-01,user,2469134,112878119,166793371
2022-01,spider,145,59618871,11484606
2022-01,automated,1769,10177670,1694410
2022-02,user,2159362,103570785,151809797
2022-02,spider,279,50395755,12791106
2022-02,automated,921,7665044,1472513
2022-03,user,2304414,102161359,155603608
2022-03,spider,334,55724275,11138664
2022-03,automated,806,5186317,1373116
2022-04,user,2226148,87507402,140040445
2022-04,spider,235,47206631,12218938
2022-04,automated,9942,4887203,1717687
2022-05,user,2147787,85582919,129532646
2022-05,spider,455,45426678,17687110
2022-05,automated,3152,10079308,1552750
2022-06,user,2009991,76521261,116878749
2022-06,spider,505,45012158,16224327
2022-06,automated,16026,8092747,1801092
2022-07,user,2134452,64369761,123249693
2022-07,spider,281,42551221,15039473
2022-07,automated,3407,5264549,10854622
2022-08,user,2230130,64870452,129184653
2022-08,spider,452,42250526,14031657
2022-08,automated,2964,4011607,19963679
2022-09,user,2181375,72520626,139575236
2022-09,spider,400,42880835,14324625
2022-09,automated,588,7241935,30568130
2022-10,user,2234470,78144000,141779586
2022-10,spider,262,42597944,13342303
2022-10,automated,2010,3948258,25827087
2022-11,user,2225778,82922957,150951376
2022-11,spider,265,44625178,12630617
2022-11,automated,1490,4116480,37604824
2022-12,user,2380842,77440479,144663759
2022-12,spider,238,46033690,20135458
2022-12,automated,2098,4560204,5023452
2023-01,user,2493224,91552634,156734110
2023-01,spider,238,45059343,14755541
2023-01,automated,3440,4294399,14625850
2023-02,user,2148459,77374335,136293352
2023-02,spider,348,42061399,11899367
2023-02,automated,7431,12762403,26457113
2023-03,user,2294287,85266494,147598070
2023-03,spider,169,48825641,14845770
2023-03,automated,1875,7151161,30083378
2023-04,user,2283190,75641099,139261815
2023-04,spider,204,53704930,14889713
2023-04,automated,4507,7137033,14671667
2023-05,user,2299656,79719596,151425743
2023-05,spider,212,46165479,14135154
2023-05,automated,2835,4716841,32870607
2023-06,user,2096413,74433612,140998131
2023-06,spider,179,48056411,14334580
2023-06,automated,5062,7512664,30603065
2023-07,user,2231721,65599439,145631563
2023-07,spider,48,45911063,14204712
2023-07,automated,4064,7438584,32831484
2023-08,user,2345980,65849800,152133225
2023-08,spider,111,43775245,13292970
2023-08,automated,3367,6247438,34434371
2023-09,user,2112257,64384673,136663752
2023-09,spider,56,36921551,13455720
2023-09,automated,858,5822854,34787576
2023-10,user,2187039,73578767,145161269
2023-10,spider,71,39353717,17875191
2023-10,automated,3631,6456259,36565464
2023-11,user,2220080,74667145,145823224
2023-11,spider,80,39461133,14588715
2023-11,automated,914,5088059,33802606
2023-12,user,2366007,70192628,151981374
2023-12,spider,98,37499958,21502565
2023-12,automated,3878,6191180,36044766
2024-01,user,2475538,90295687,165633436
2024-01,spider,68,41622189,22548710
2024-01,automated,1684,31635967,38748562
2024-02,user,2213495,71628394,141654467
2024-02,spider,5,39088758,21994947
2024-02,automated,999,74545402,35914588
2024-03,user,2373761,72388311,147641500
2024-03,spider,7,37876130,18972490
2024-03,automated,711,9546123,37178002
2024-04,user,2250967,69196122,140868023
2024-04,spider,24,40125973,18812401
2024-04,automated,2749,6784345,35104372
2024-05,user,2401558,69579056,141504074
2024-05,spider,34,40716142,18410907
2024-05,automated,13553,6126325,12107314
2024-06,user,2277148,66762166,133728438
2024-06,spider,166,46288767,18497340
2024-06,automated,10281,7367796,2362074
2024-07,user,2435585,60736994,140059518
2024-07,spider,69,33819573,19103870
2024-07,automated,7749,8154185,2158863
2024-08,user,2563952,61946198,146720879
2024-08,spider,138,40768130,18272960
2024-08,automated,6618,9660674,2271782
2024-09,user,2294487,60773738,129424998
2024-09,spider,401,31197786,17877424
2024-09,automated,692,10948242,4364271
2024-10,user,2390699,69634251,136676998
2024-10,spider,123,24360123,16263281
2024-10,automated,1787,9889041,4310900
2024-11,user,2441795,70250623,146243679
2024-11,spider,71,24803537,15850948
2024-11,automated,969,13961044,3550316
2024-12,user,2542886,67523768,149710213
2024-12,spider,29,23371998,18646428
2024-12,automated,2519,14965756,3385003
2025-01,user,2662531,81605352,167863819
2025-01,spider,71,25690678,20013929
2025-01,automated,3631,16317156,4175721
2025-02,user,2267384,69421281,139332014
2025-02,spider,104,23389501,15962251
2025-02,automated,2229,13711025,3849673
2025-03,user,2455531,74706375,147071731
2025-03,spider,102,32676389,16970032
2025-03,automated,3167,16480776,3583866
2025-04,user,2359263,63260960,133719360
2025-04,spider,99,31773730,18384537
2025-04,automated,5474,17112429,4439747
2025-05,user,2173855,60881419,131194346
2025-05,spider,108,31398314,18719736
2025-05,automated,11162,28324420,10063176
2025-06,user,1910157,53878251,114995421
2025-06,spider,54,26091667,19786100
2025-06,automated,13996,25223582,6238643
2025-07,user,2058195,58038449,126642531
2025-07,spider,1,34189426,20586136
2025-07,automated,3942,18018940,6070900
2025-08,user,2319047,56414326,138176949
2025-08,spider,,42303687,22053125
2025-08,automated,3934,20411847,4352308
2025-09,user,2151055,57357035,129821058
2025-09,spider,2,45457497,18887785
2025-09,automated,6666,27313774,5070406
2025-10,user,2219776,66640012,132430908
2025-10,spider,2,47925707,23719326
2025-10,automated,18479,18724813,3954938
2025-11,user,2247047,89594598,136452924
2025-11,spider,4,45966356,22411325
2025-11,automated,11753,34215919,3664853
2025-12,user,2212732,61483711,126468114
2025-12,spider,,39172244,22236929
2025-12,automated,12020,78690569,5486260
2026-01,user,2286994,67998279,133998551
2026-01,spider,,33524631,22451134
2026-01,automated,5171,75668324,5027585
2026-02,user,2009236,55509513,120497555
2026-02,spider,,28172478,19862589
2026-02,automated,10193,26817682,3410227
2026-03,user,2095861,60187212,116336909
2026-03,spider,2,28212094,16224861
2026-03,automated,10179,35209582,3449216
2026-04,user,2084938,56370788,113582116
2026-04,spider,1,25442323,10381688
2026-04,automated,4973,26539790,3733719
2026-05,user,2100527,64182874,113706192
2026-05,spider,15,30861801,13715605
2026-05,automated,11445,24568104,2958131
2026-06,user,1996047,65467037,112115791
2026-06,spider,5,26249971,15878879
2026-06,automated,14515,25085340,4051099
